         1155632 function calls (1090830 primitive calls) in 1.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.024    0.024 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:238(create_cpython_wrapper)
        1    0.000    0.000    0.024    0.024 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\cpu.py:175(create_cpython_wrapper)
       42    0.000    0.000    0.024    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\types.py:48(get_abi_size)
        9    0.000    0.000    0.024    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:1393(_add_module)
        9    0.000    0.000    0.024    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:1094(add_module)
7902/7863    0.012    0.000    0.023    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\_utils.py:54(get_reference)
        2    0.000    0.000    0.023    0.012 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\cpython\listobj.py:847(list_append)
        9    0.000    0.000    0.023    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:1024(build_constraint)
      169    0.001    0.000    0.023    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\passmanagers.py:232(run)
      246    0.000    0.000    0.023    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:1372(constrain_statement)
      144    0.007    0.000    0.023    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\np\numpy_support.py:355(ufunc_find_matching_loop)
      214    0.001    0.000    0.023    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1330(storevar)
      531    0.001    0.000    0.023    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\targetconfig.py:150(values)
      255    0.002    0.000    0.023    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\typeof.py:25(typeof)
      205    0.001    0.000    0.022    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:1437(typeof_assign)
     4201    0.005    0.000    0.022    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\_utils.py:16(register)
        9    0.000    0.000    0.022    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:1087(_load_defined_symbols)
      107    0.001    0.000    0.022    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:59(_select_compatible)
      493    0.002    0.000    0.022    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\value.py:143(name)
      531    0.005    0.000    0.022    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\targetconfig.py:153(<dictcomp>)
        1    0.000    0.000    0.022    0.022 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\cpython\setobj.py:1228(set_add)
      523    0.002    0.000    0.022    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\module.py:244(_next)
        9    0.000    0.000    0.022    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:183(run_pass)
       42    0.001    0.000    0.021    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\types.py:33(_get_ll_pointer_type)
        1    0.000    0.000    0.021    0.021 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\cpython\setobj.py:489(add)
     1873    0.005    0.000    0.021    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:106(_match_arglist)
  261/255    0.001    0.000    0.020    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\functools.py:870(wrapper)
       18    0.000    0.000    0.020    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:1091(<setcomp>)
      406    0.002    0.000    0.020    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\runtime\context.py:199(_call_incref_decref)
      294    0.002    0.000    0.020    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\builder.py:297(if_then)
     7128    0.010    0.000    0.020    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\event.py:84(__init__)
        4    0.000    0.000    0.020    0.005 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\cpython\setobj.py:184(_lookup)
      139    0.000    0.000    0.020    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:1457(resolve_value_type)
  320/297    0.000    0.000    0.020    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:701(cast)
        9    0.000    0.000    0.019    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:463(run_pass)
        9    0.000    0.000    0.019    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir_utils.py:2205(check_and_legalize_ir)
     1003    0.005    0.000    0.019    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:559(_rate_arguments)
7389/7340    0.005    0.000    0.019    0.000 {method 'join' of 'str' objects}
      2/1    0.000    0.000    0.018    0.018 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\cpython\setobj.py:439(_add_key)
       11    0.000    0.000    0.018    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\imputils.py:192(imp)
        9    0.000    0.000    0.018    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\codegen.py:1296(_scan_and_fix_unresolved_refs)
       10    0.000    0.000    0.018    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\callconv.py:116(raise_error)
      225    0.001    0.000    0.018    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1359(delvar)
      439    0.001    0.000    0.017    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1295(_alloca_var)
       53    0.000    0.000    0.017    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typeinfer.py:1543(typeof_global)
        6    0.000    0.000    0.017    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\cpython\listobj.py:346(_payload_realloc)
      225    0.004    0.000    0.017    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\analysis.py:235(compute_cfg_from_blocks)
    13888    0.006    0.000    0.017    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\abc.py:96(__instancecheck__)
      169    0.002    0.000    0.017    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:600(__init__)
        9    0.000    0.000    0.017    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:24(__init__)
