         1285522 function calls (1208653 primitive calls) in 1.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.076    0.007 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\untyped_passes.py:192(run_pass)
      177    0.001    0.000    0.073    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:1339(alloca_lltype)
15069/9017    0.026    0.000    0.070    0.000 {method 'format' of 'str' objects}
       11    0.000    0.000    0.066    0.006 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\untyped_passes.py:225(run_pass)
       24    0.000    0.000    0.065    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:686(load_additional_registries)
       99    0.000    0.000    0.065    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:668(__str__)
       99    0.000    0.000    0.065    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:661(descr)
       11    0.000    0.000    0.063    0.006 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\untyped_passes.py:1499(run_pass)
     5562    0.004    0.000    0.059    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir.py:576(list_vars)
      232    0.001    0.000    0.058    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\npydecl.py:195(generic)
      121    0.001    0.000    0.057    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:51(deadmaps)
       11    0.000    0.000    0.057    0.005 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:654(descr_body)
      163    0.001    0.000    0.056    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:797(descr)
      121    0.001    0.000    0.056    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\transforms.py:309(canonicalize_cfg)
       24    0.001    0.000    0.055    0.002 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:604(lower_binop)
      232    0.003    0.000    0.055    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\npydecl.py:100(generic)
      163    0.001    0.000    0.055    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\values.py:799(<listcomp>)
      121    0.001    0.000    0.055    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\transforms.py:239(canonicalize_cfg_single_backedge)
       51    0.000    0.000    0.054    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:1096(get_abi_sizeof)
       51    0.000    0.000    0.053    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\types.py:48(get_abi_size)
       51    0.001    0.000    0.052    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\types.py:33(_get_ll_pointer_type)
5179/5173    0.044    0.000    0.051    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\_utils.py:54(get_reference)
      148    0.000    0.000    0.049    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\templates.py:431(apply)
       16    0.000    0.000    0.049    0.003 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\binding\module.py:109(verify)
       11    0.001    0.000    0.049    0.004 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\inline_closurecall.py:69(run)
      148    0.001    0.000    0.049    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\templates.py:259(_select)
      148    0.006    0.000    0.048    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:578(resolve_overload)
      121    0.000    0.000    0.048    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:37(cfg)
        5    0.000    0.000    0.047    0.009 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\lowering.py:289(create_cfunc_wrapper)
        5    0.000    0.000    0.046    0.009 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\cpu.py:162(create_cfunc_wrapper)
       44    0.000    0.000    0.045    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:155(_insert_var_dels)
       44    0.014    0.000    0.044    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\postproc.py:175(_patch_var_dels)
      618    0.032    0.000    0.043    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\controlflow.py:443(_find_dominators_internal)
    55/53    0.000    0.000    0.043    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:1163(__call__)
    55/53    0.000    0.000    0.042    0.001 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\base.py:1192(wrapper)
       11    0.000    0.000    0.042    0.004 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:167(run_pass)
       11    0.000    0.000    0.042    0.004 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typed_passes.py:414(run_pass)
     2462    0.012    0.000    0.040    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\llvmlite\ir\instructions.py:13(__init__)
       11    0.000    0.000    0.039    0.004 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\ir_utils.py:2091(check_and_legalize_ir)
      232    0.012    0.000    0.039    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\np\numpy_support.py:341(ufunc_find_matching_loop)
     1362    0.009    0.000    0.038    0.000 C:\Users\UserA\anaconda3\envs\PyConcurrent\lib\site-packages\numba\core\typing\context.py:528(_rate_arguments)
7806/7224    0.005    0.000    0.037    0.000 {built-in method builtins.next}
